Time,X_axis,Y_axis,Z_axis,W_axis
2023-08-03 17:38,0.02102486,0.03010705,-0.005155222,0.9993122
2023-08-03 17:38,0.02102446,0.03006932,-0.005116509,0.9993136
2023-08-03 17:38,0.02098538,0.03007106,-0.005126925,0.9993142
2023-08-03 17:38,0.02103194,0.03009256,-0.005130035,0.9993126
2023-08-03 17:38,0.02101896,0.03011725,-0.005097424,0.9993124
2023-08-03 17:39,0.02098501,0.03012553,-0.005153318,0.9993125
2023-08-03 17:39,0.02104556,0.03016765,-0.00511072,0.9993102
2023-08-03 17:39,0.02098731,0.03014275,-0.005107272,0.9993122
2023-08-03 17:39,0.02105294,0.0301084,-0.005180193,0.9993115
2023-08-03 17:39,0.02104247,0.03018292,-0.005160271,0.9993096
2023-08-03 17:39,0.02101255,0.03013413,-0.005128582,0.9993118
2023-08-03 17:40,0.02104934,0.03016377,-0.005142907,0.9993101
2023-08-03 17:40,0.02101807,0.03007396,-0.005140065,0.9993135
2023-08-03 17:40,0.0210079,0.0301627,-0.005103792,0.9993111
2023-08-03 17:40,0.02093477,0.03018683,-0.005120699,0.9993119
2023-08-03 17:40,0.0209819,0.03020924,-0.005115537,0.9993102
2023-08-03 17:40,0.02098808,0.0301928,-0.005131656,0.9993106
2023-08-03 17:41,0.02092125,0.03016584,-0.005167909,0.9993126
2023-08-03 17:41,0.02102667,0.03011741,-0.005164182,0.9993119
2023-08-03 17:41,0.02095567,0.03011976,-0.005139739,0.9993134
2023-08-03 17:41,0.02100023,0.03011292,-0.005162882,0.9993126
2023-08-03 17:41,0.02094814,0.0301767,-0.00514909,0.9993118
2023-08-03 17:41,0.0209917,0.03013734,-0.005112598,0.9993123
2023-08-03 17:42,0.02101417,0.03014917,-0.005169939,0.9993111
2023-08-03 17:42,0.02101518,0.0302109,-0.005135823,0.9993094
2023-08-03 17:42,0.02097021,0.03017092,-0.005151211,0.9993115
2023-08-03 17:42,0.02099676,0.03028831,-0.005138912,0.9993075
2023-08-03 17:42,0.02102223,0.03021735,-0.005124337,0.9993091
2023-08-03 17:42,0.02095954,0.03021506,-0.005129601,0.9993104
2023-08-03 17:43,0.02100578,0.03023643,-0.005103762,0.9993089
2023-08-03 17:43,0.02099685,0.03021685,-0.005146442,0.9993096
2023-08-03 17:43,0.02097046,0.03019213,-0.005150846,0.9993109
2023-08-03 17:43,0.02103326,0.03020514,-0.005144359,0.9993092
2023-08-03 17:43,0.02098025,0.03015299,-0.0051522,0.9993119
2023-08-03 17:43,0.02098536,0.03018496,-0.005119391,0.9993109
2023-08-03 17:44,0.02094876,0.03022968,-0.005136068,0.9993103
2023-08-03 17:44,0.02095231,0.03016039,-0.005139259,0.9993123
2023-08-03 17:44,0.02098002,0.03021308,-0.005142083,0.9993101
2023-08-03 17:44,0.02095628,0.03026852,-0.005121542,0.9993089
2023-08-03 17:44,0.02100974,0.0303349,-0.005127894,0.9993058
2023-08-03 17:44,0.0209791,0.0302762,-0.005136654,0.9993082
2023-08-03 17:45,0.02099103,0.03030545,-0.005116752,0.9993072
2023-08-03 17:45,0.02098783,0.03035503,-0.005122689,0.9993057
2023-08-03 17:45,0.02099267,0.03034828,-0.005144199,0.9993057
2023-08-03 17:45,0.02098114,0.03033291,-0.00514218,0.9993064
2023-08-03 17:45,0.02098211,0.03029429,-0.005122376,0.9993076
2023-08-03 17:45,0.02104387,0.03025899,-0.005133679,0.9993073
2023-08-03 17:46,0.02106196,0.0303538,-0.005131189,0.9993042
2023-08-03 17:46,0.0209918,0.03028826,-0.005153187,0.9993075
2023-08-03 17:46,0.02098194,0.03030324,-0.005142137,0.9993073
2023-08-03 17:46,0.020987,0.03033079,-0.005133589,0.9993064
2023-08-03 17:46,0.02098439,0.03028998,-0.005148954,0.9993076
2023-08-03 17:46,0.0209901,0.03027598,-0.00514074,0.999308
2023-08-03 17:47,0.02101219,0.03032216,-0.00513655,0.9993061
2023-08-03 17:47,0.0210316,0.03035185,-0.005181935,0.9993046
